TR MBAS_001: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TR MBAS_070: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_071: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_072: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_073: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_074: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_075: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_076: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_077: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_078: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_079: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_080: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_081: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_082: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_083: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_084: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_085: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_086: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_087: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_088: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_089: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_090: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_091: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_092: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_093: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_094: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_095: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_096: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_097: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_098: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_099: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
TS MBAS_100: [0, 1, 2, 3, 4] -> [0, 1, 2, 3]
Done: /data1/youyou/workplace/nnUNet_quml/nnUNet_raw/Dataset073_MBAS
Test images: /data1/youyou/workplace/quml_repro/imagesTs073
Mapped test labels: /data1/youyou/workplace/quml_repro/gtTs073_mapped
